parents,p,e,t
0,0,0,0
0x0.1 + 1x0.9,[ 0. 72.  2.  0. 62.  0.  0.  0.],[50.  0.  0. 60.  0. 60. 10. 10.],[334 288 396 538 320 565 179 800]
0x0.2 + 1x0.8,[ 0. 70.  0.  0. 62.  0.  0.  0.],[ 60.   0.  40.  40.   0. 100.  10.  70.],[331 247 339 430 268 262 181 336]
0x0.3 + 1x0.7,[ 0. 70.  0.  0. 65.  0.  0.  0.],[ 70.   0.  50.  70.   0. 100.  10.  70.],[331 247 338 348 268 286 182 357]
0x0.4 + 1x0.6,[ 0. 70.  0.  0. 65.  0.  0.  0.],[ 70.   0.  60.  70.   0. 100.  10.  70.],[332 247 338 348 268 236 183 361]
0x0.5 + 1x0.5,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 348 268 252 183 361]
0x0.6 + 1x0.4,[ 0. 70.  0.  0. 66.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 415 267 252 182 308]
0x0.7 + 1x0.3,[ 0. 78.  0.  0. 63.  0.  0.  0.],[70.  0. 70. 70.  0. 70. 10. 70.],[332 237 337 417 268 253 181 367]
0x0.8 + 1x0.2,[ 0. 72.  0.  0. 54.  0.  0. 27.],[70.  0. 60. 70.  0. 70. 10.  0.],[332 278 341 425 424 237 179 509]
0x0.9 + 1x0.1,[ 0. 72.  8.  0. 84.  0.  0.  0.],[70.  0.  0. 60.  0. 70. 90. 20.],[332 288 496 508 227 248  30 978]
0x0.1 + 2x0.9,[ 0.  0. 20.  0. 59.  0.  0. 23.],[70. 40.  0. 20.  0. 50. 50.  0.],[387 386 509 838 346 269 202 577]
0x0.2 + 2x0.8,[ 0.  0.  0.  0. 69.  0.  0.  0.],[50. 50. 50. 80.  0. 80. 90. 60.],[398 330 456 317 268 161  30 324]
0x0.3 + 2x0.7,[ 0.  0.  0.  0. 80.  0.  0.  0.],[ 50.  70.  30.  80.   0. 100.  90.  60.],[398 342 522 485 358 291  33 379]
0x0.4 + 2x0.6,[ 0.  0.  0.  0. 82.  0.  0.  0.],[50. 70. 30. 80.  0. 90. 70. 70.],[398 342 522 485 332 366 195 367]
0x0.5 + 2x0.5,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 485 332 345  15 367]
0x0.6 + 2x0.4,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 485 332 345  15 367]
0x0.7 + 2x0.3,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0. 100. 100.  70.],[398 342 522 485 332 233  23 367]
0x0.8 + 2x0.2,[ 0.  0.  0.  0. 83.  0.  0. 59.],[ 50.  70.  30.  80.   0. 100. 100.   0.],[398 342 522 485 254 233  23 530]
0x0.9 + 2x0.1,[ 0.  0.  0.  0. 83.  0.  0. 45.],[ 50.  60.  30.  80.   0.  80. 100.   0.],[398 378 522 485 266 287  25 678]
0x0.1 + 3x0.9,[ 0. 72. 24.  0. 83.  0.  0.  0.],[50.  0.  0. 20.  0. 90. 80. 60.],[384 278 487 755 224 501  45 543]
0x0.2 + 3x0.8,[ 0.  0.  0.  0. 49.  0.  0.  0.],[ 50.  70.  20.  50.  70. 100. 100.  50.],[ 398  354  503 1046 1000  474   23  606]
0x0.3 + 3x0.7,[ 0.  0.  0.  0. 57.  0.  0.  0.],[ 60.  70.  30.  90.  90.  80. 100.  50.],[ 391  347  403  622 1000  365   15  507]
0x0.4 + 3x0.6,[ 0.  0.  0.  0. 50.  0.  0.  0.],[ 60.  70.  90.  90.  90.  90. 100.  60.],[ 314  474  326  563 1000  347   15  463]
0x0.5 + 3x0.5,[ 0.  0.  0.  0. 43.  0.  0.  0.],[ 50.  70.  90.  70.  30.  70. 100.  40.],[ 327  393  325  742 1000  486   15  517]
0x0.6 + 3x0.4,[ 0.  0.  0.  0. 67.  0.  0.  0.],[ 60.  70.  80.  60.   0.  70. 100.  50.],[354 349 325 807 360 582  15 546]
0x0.7 + 3x0.3,[ 0.  0.  0.  0. 79.  0.  0.  0.],[ 50.  70.  80.  60.   0.  90. 100.  40.],[408 342 562 885 225 345  15 676]
0x0.8 + 3x0.2,[ 0.  0.  0.  0. 92.  0.  0. 41.],[ 50.  70.  30.  80.   0.  90. 100.   0.],[398 342 522 485 198 345  15 666]
0x0.9 + 3x0.1,[ 0.  0.  0.  0. 92.  0.  0. 25.],[ 50.  70.  30.  80.   0. 100. 100.   0.],[398 342 522 485 198 241  23 798]
0x0.1 + 4x0.9,[ 0. 28.  8.  0. 63.  0.  7. 42.],[70.  0.  0. 60.  0. 20.  0.  0.],[308 227 354 364 276 357 210 357]
0x0.2 + 4x0.8,[ 0.  0. 20.  0. 70.  0.  0. 16.],[70. 20.  0. 60.  0. 40. 20.  0.],[308 181 371 358 240 359 225 448]
0x0.3 + 4x0.7,[ 0. 30.  0.  0. 66.  0. 14. 19.],[70.  0. 50. 60.  0. 90.  0.  0.],[308 278 340 353 266 248 210 424]
0x0.4 + 4x0.6,[ 0. 64.  0.  0. 63.  0. 26. 73.],[70.  0. 60. 60.  0. 60.  0.  0.],[308 258 339 408 294 378 197 323]
0x0.5 + 4x0.5,[ 0. 64.  0.  0. 80.  0.  0. 63.],[70.  0. 80. 60.  0. 70. 20.  0.],[308 258 223 435 187 161 208 422]
0x0.6 + 4x0.4,[ 0. 78.  0.  0. 66.  0.  0. 29.],[70.  0. 60. 60.  0. 70. 10.  0.],[322 237 227 472 268 161 203 678]
0x0.7 + 4x0.3,[ 0. 72.  0.  0. 62.  0.  0.  8.],[ 70.   0.  80.  60.   0.  70. 100.   0.],[328 278 227 391 306 240  25 633]
0x0.8 + 4x0.2,[ 0. 72.  0.  0. 68.  0.  0.  0.],[ 60.   0.  20.  60.   0.  70. 100.  30.],[331 278 453 403 320 264  25 599]
0x0.9 + 4x0.1,[ 0. 76. 34.  0. 88.  0.  0. 18.],[ 70.   0.   0.  60.   0.  70. 100.   0.],[332 247 496 451 226 249  25 717]
0x0.1 + 5x0.9,[ 0.  0.  0.  0. 85.  0. 45.  0.],[20. 80. 60. 70.  0. 60.  0. 80.],[308 144 342 269 187 243 236 367]
0x0.2 + 5x0.8,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  70.   0.  70. 100.  70.],[337 329 522 316 332 370  15 274]
0x0.3 + 5x0.7,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 493 332 345  15 382]
0x0.4 + 5x0.6,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 485 332 345  15 367]
0x0.5 + 5x0.5,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 485 332 345  15 367]
0x0.6 + 5x0.4,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 485 332 345  15 367]
0x0.7 + 5x0.3,[ 0.  0.  0.  0. 82.  0.  0. 29.],[ 50.  70.  30.  80.   0.  90. 100.   0.],[398 342 522 485 332 345  15 565]
0x0.8 + 5x0.2,[ 0.  0.  0.  0. 82.  0.  0. 56.],[ 50.  70.  30.  80.   0. 100. 100.   0.],[398 342 522 485 332 237  23 529]
0x0.9 + 5x0.1,[ 0.  0.  0.  0. 81.  0.  0. 44.],[ 50.  70.  30.  80.   0.  80. 100.   0.],[398 360 522 485 280 287  25 678]
0x0.1 + 6x0.9,[ 0. 64.  0.  0. 56.  0.  0.  5.],[70.  0. 60. 60.  0. 70. 10.  0.],[308 258 337 299 292 184 291 480]
0x0.2 + 6x0.8,[ 0. 70.  0.  0. 60.  0.  0.  0.],[70.  0. 60. 70.  0. 80. 10. 80.],[308 247 337 269 293 203 302 362]
0x0.3 + 6x0.7,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[308 247 337 269 268 163 306 222]
0x0.4 + 6x0.6,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 20. 60. 70.  0. 80. 40. 80.],[308 315 337 269 268 164 309 222]
0x0.5 + 6x0.5,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 20. 60. 70.  0. 80. 30. 80.],[308 294 337 276 268 180 310 222]
0x0.6 + 6x0.4,[ 0.  0.  0.  0. 73.  0.  0.  0.],[70. 10. 30. 60.  0. 80. 60. 80.],[308 298 452 419 242 181 196 272]
0x0.7 + 6x0.3,[ 0.  0.  0.  0. 74.  0.  0.  0.],[ 70.  50.  60.  60.   0.  70. 100.  70.],[332 304 226 501 293 235  25 299]
0x0.8 + 6x0.2,[ 0.  0.  0.  0. 73.  0.  0. 57.],[ 40.  50.  70.  60.   0.  70. 100.   0.],[387 358 228 532 267 249  25 386]
0x0.9 + 6x0.1,[ 0.  0. 12.  0. 86.  0.  0. 63.],[40. 10.  0. 10.  0. 70. 90.  0.],[386 363 496 717 201 261  32 483]
0x0.1 + 7x0.9,[ 0. 76.  0.  0. 65.  0.  0.  5.],[70.  0. 60. 70.  0. 80. 10.  0.],[312 237 337 269 268 174 319 480]
0x0.2 + 7x0.8,[ 0. 70.  0.  0. 65.  0.  0.  6.],[70.  0. 60. 70.  0. 70. 10.  0.],[312 247 337 269 268 163 332 480]
0x0.3 + 7x0.7,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 381 373]
0x0.4 + 7x0.6,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 382 373]
0x0.5 + 7x0.5,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 10.],[313 247 337 272 268 163 351 391]
0x0.6 + 7x0.4,[ 0. 72.  0.  0. 62.  0.  0.  0.],[70.  0. 20. 70.  0. 70. 10. 70.],[308 278 501 346 268 242 185 285]
0x0.7 + 7x0.3,[ 0. 72.  0.  0. 68.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 70.],[314 278 335 411 294 262 179 323]
0x0.8 + 7x0.2,[ 0. 76.  0.  0. 74.  0.  0. 51.],[ 60.   0.  60.  70.   0.  70. 100.   0.],[328 247 340 337 294 248  25 509]
0x0.9 + 7x0.1,[ 0. 68.  0.  0. 88.  0.  0.  0.],[70.  0. 10. 50.  0. 70. 90. 10.],[332 278 515 639 212 264  32 677]
1x0.1 + 2x0.9,[ 0. 72. 52.  8. 63.  0.  0. 51.],[70.  0.  0.  0.  0. 50. 10.  0.],[365 278 448 886 268 270 257 320]
1x0.2 + 2x0.8,[ 0. 66.  0.  0. 63.  0.  0. 20.],[70.  0. 20. 10.  0. 60. 10.  0.],[ 365  278  503 1166  268  405  202  580]
1x0.3 + 2x0.7,[ 0.  0.  0.  0. 56.  0.  0.  3.],[70. 20. 50. 80.  0. 80. 10. 10.],[ 356  370  512  637  294  378  202 1000]
1x0.4 + 2x0.6,[ 0.  0.  0.  0. 60.  0.  0.  0.],[50. 20. 50. 80.  0. 50. 60. 40.],[376 335 536 756 372 496 201 546]
1x0.5 + 2x0.5,[ 0.  0.  0.  0. 60.  0.  0. 14.],[50. 60. 60. 70.  0. 80. 90.  0.],[406 337 538 361 396 341  45 665]
1x0.6 + 2x0.4,[ 0.  0.  0.  0. 84.  0.  0.  9.],[30. 80. 60. 70.  0. 90. 80. 20.],[ 368  323  530  623  369  356  198 1000]
1x0.7 + 2x0.3,[ 0.  0.  0.  0. 23.  0.  0.  9.],[40. 10. 20. 80. 40. 90. 60.  0.],[ 366  376  522  482 1000  356  196  879]
1x0.8 + 2x0.2,[ 0.  0.  0.  0. 86.  0.  0.  0.],[40. 50. 40. 80.  0. 60. 20. 30.],[433 375 521 555 279 533 183 804]
1x0.9 + 2x0.1,[ 0.  0.  0.  0. 60.  0.  0. 21.],[50. 40. 30. 90.  0. 80. 20.  0.],[334 378 496 387 345 557 176 735]
1x0.1 + 3x0.9,[ 0. 72. 32.  0. 61.  0. 81.  8.],[70.  0.  0. 70.  0. 70.  0.  0.],[332 278 496 428 320 301 171 770]
1x0.2 + 3x0.8,[ 0. 70.  0.  0. 56.  0. 81. 18.],[70.  0. 10. 70.  0. 70.  0.  0.],[332 258 454 407 320 248 171 665]
1x0.3 + 3x0.7,[ 0. 78.  0.  0. 54.  0. 81. 31.],[70.  0. 50. 70.  0. 70.  0.  0.],[332 237 343 404 320 251 171 626]
1x0.4 + 3x0.6,[ 0. 78.  0.  0. 63.  0. 81. 32.],[70.  0. 40. 70.  0. 90.  0.  0.],[332 237 339 407 268 264 171 424]
1x0.5 + 3x0.5,[ 0. 70.  0.  0. 63.  0. 81. 41.],[ 70.   0.  50.  60.   0. 100.   0.   0.],[332 247 338 599 268 235 171 474]
1x0.6 + 3x0.4,[ 0. 70.  0.  0. 63.  0. 81.  0.],[70.  0. 30. 80.  0. 80.  0. 70.],[337 247 338 594 268 271 171 467]
1x0.7 + 3x0.3,[ 0. 70.  0.  0. 59.  0. 81.  0.],[70.  0. 40. 70.  0. 90.  0. 60.],[350 247 338 423 294 264 171 520]
1x0.8 + 3x0.2,[ 0. 70.  0.  0. 57.  0. 81.  0.],[60.  0. 30. 40.  0.  0.  0. 80.],[343 247 338 504 294 406 171 447]
1x0.9 + 3x0.1,[ 0. 72.  0.  0. 57.  0. 74.  0.],[50.  0. 30. 30.  0. 50.  0. 70.],[640 258 453 522 294 463 158 425]
1x0.1 + 4x0.9,[ 0. 28.  0.  0. 60.  0.  0. 35.],[70.  0. 20. 70.  0. 20. 20.  0.],[308 227 324 291 241 351 232 347]
1x0.2 + 4x0.8,[ 0.  8.  0.  0. 59.  0.  0.  0.],[70.  0. 50. 60.  0. 30. 20. 80.],[308 238 338 314 294 354 243 222]
1x0.3 + 4x0.7,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 30. 10. 80.],[308 247 337 269 268 360 285 222]
1x0.4 + 4x0.6,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[308 247 337 269 268 242 307 227]
1x0.5 + 4x0.5,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 60. 10. 80.],[308 247 337 269 268 222 307 234]
1x0.6 + 4x0.4,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 90. 10. 70.],[308 247 338 269 268 188 307 237]
1x0.7 + 4x0.3,[ 0. 70. 10.  0. 63.  0.  0.  0.],[70.  0.  0. 70.  0. 70. 10. 70.],[308 247 487 269 268 237 307 243]
1x0.8 + 4x0.2,[ 0. 70. 30.  0. 63.  0.  0.  0.],[70.  0.  0. 70.  0. 70. 10. 60.],[331 247 373 269 268 288 319 442]
1x0.9 + 4x0.1,[ 0. 72. 26.  0. 59.  0.  0.  0.],[80.  0.  0. 70.  0. 70. 10. 70.],[348 258 496 285 294 432 322 545]
1x0.1 + 5x0.9,[ 0. 66.  0.  0. 62.  0.  0. 29.],[80.  0. 30. 60.  0. 70. 10.  0.],[321 157 246 248 250 226 214 331]
1x0.2 + 5x0.8,[ 0. 66.  0.  0. 57.  0.  0. 29.],[80.  0. 30. 60.  0. 40. 90.  0.],[321 191 246 246 290 295  28 331]
1x0.3 + 5x0.7,[ 0.  0.  0.  0. 74.  0.  0. 28.],[90. 10. 20. 40.  0. 60. 30.  0.],[321 221 261 385 290 252 256 331]
1x0.4 + 5x0.6,[ 0.  0.  0.  0. 78.  0.  0.  0.],[40. 60. 30. 80.  0. 60. 80. 40.],[323 357 295 225 187 244 253 554]
1x0.5 + 5x0.5,[ 0.  0.  0.  0. 62.  0.  0.  0.],[60. 70. 50. 90.  0. 90. 60. 60.],[311 348 300 402 320 391 249 529]
1x0.6 + 5x0.4,[ 0.  0.  0.  0. 72.  0.  0.  0.],[50. 70. 20. 90.  0. 80. 90. 60.],[572 550 586 408 332 383  38 475]
1x0.7 + 5x0.3,[ 0.  0.  0.  0. 68.  0.  0.  0.],[50. 50. 40. 90.  0. 60. 90. 60.],[664 486 716 438 423 483  39 515]
1x0.8 + 5x0.2,[ 0.  0.  0.  0. 69.  0.  0.  0.],[50. 40. 60. 90.  0. 50. 50. 50.],[492 550 598 430 294 440 167 541]
1x0.9 + 5x0.1,[ 0.  0.  0.  0. 65.  0.  0.  0.],[30. 10. 10. 50.  0. 80. 20. 70.],[494 406 500 576 268 368 180 449]
1x0.1 + 6x0.9,[ 0. 64.  0.  0. 54.  3. 36.  5.],[70.  0. 50. 60.  0.  0.  0.  0.],[318 258 338 245 273 340 197 483]
1x0.2 + 6x0.8,[ 0. 64.  0.  0. 55.  0.  0.  5.],[70.  0. 60. 60.  0. 20. 10.  0.],[319 258 337 248 274 321 311 480]
1x0.3 + 6x0.7,[ 0. 70.  0.  0. 59.  0.  0.  0.],[70.  0. 60. 60.  0. 50. 10. 80.],[319 247 337 284 265 266 298 362]
1x0.4 + 6x0.6,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 80.  0. 40. 10. 80.],[319 247 337 448 268 303 249 360]
1x0.5 + 6x0.5,[ 0. 82.  0.  0. 64.  0.  0.  0.],[50.  0. 60. 80.  0. 10. 10. 10.],[362 258 338 456 294 387 245 617]
1x0.6 + 6x0.4,[ 0.  0.  0.  0.  0.  0.  0. 34.],[20. 30. 50. 80. 10. 40. 60.  0.],[361 335 338 447 846 394 104 601]
1x0.7 + 6x0.3,[0. 0. 0. 0. 2. 0. 0. 0.],[50. 70. 10. 70.  0. 30. 60. 40.],[381 338 523 473 866 460 242 619]
1x0.8 + 6x0.2,[ 0.  0.  0.  0. 74.  0.  0.  0.],[50. 40. 30. 90.  0. 90. 40. 70.],[646 602 510 419 371 394 162 514]
1x0.9 + 6x0.1,[ 0.  0. 10.  0. 63.  0.  0.  0.],[50. 30.  0. 60.  0. 60. 10. 70.],[494 556 497 465 320 427 165 409]
1x0.1 + 7x0.9,[ 0. 70.  0.  0. 65.  0.  0.  6.],[70.  0. 60. 70.  0. 80. 20.  0.],[312 247 338 270 268 180 251 480]
1x0.2 + 7x0.8,[ 0. 70.  0.  0. 65.  0.  0.  6.],[70.  0. 60. 70.  0. 50. 10.  0.],[312 247 337 269 268 199 328 480]
1x0.3 + 7x0.7,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 40. 10. 30.],[312 247 337 269 268 217 332 391]
1x0.4 + 7x0.6,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 40.],[312 247 337 269 268 163 337 384]
1x0.5 + 7x0.5,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 397 373]
1x0.6 + 7x0.4,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 164 415 373]
1x0.7 + 7x0.3,[ 0. 70.  0.  0. 65.  0.  0.  0.],[ 70.   0.  60.  70.   0. 100.  10.  30.],[312 247 338 269 268 236 417 388]
1x0.8 + 7x0.2,[ 0. 80.  0.  0. 65.  0.  0. 48.],[70.  0. 50. 70.  0. 60. 10.  0.],[322 237 339 269 268 367 378 512]
1x0.9 + 7x0.1,[ 0.  0.  0.  0. 66.  0.  0.  0.],[10. 10. 50. 70.  0. 50. 10. 50.],[361 371 340 407 268 540 185 481]
2x0.1 + 3x0.9,[ 0. 72. 24.  0. 63.  0.  0. 20.],[ 70.   0.   0.  60.   0. 100.  50.   0.],[345 278 497 509 320 300 174 665]
2x0.2 + 3x0.8,[100.  72.  22.   0.  51.   0.   0.  67.],[ 0.  0.  0. 80.  0. 90. 80.  0.],[184 288 486 488 658 312  45 328]
2x0.3 + 3x0.7,[ 0.  0.  0.  0. 80.  0.  0.  0.],[ 50.  20.  30.  80.   0. 100. 100.  70.],[398 408 522 485 332 262  24 367]
2x0.4 + 3x0.6,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0. 100. 100.  70.],[398 340 522 485 332 259  23 367]
2x0.5 + 3x0.5,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0. 100. 100.  70.],[398 342 522 485 332 258  23 367]
2x0.6 + 3x0.4,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 485 332 345  15 367]
2x0.7 + 3x0.3,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 485 332 301  23 367]
