parents,p,e,t
2x0.8 + 3x0.2,[ 0.  0.  0.  0. 78.  0.  0.  0.],[50. 70. 30. 80.  0. 80. 90. 60.],[398 342 522 335 397 165  33 338]
2x0.9 + 3x0.1,[ 0.  0.  0.  0. 70.  0.  0.  0.],[50. 70. 20. 50.  0. 70. 90. 60.],[ 385  336  529 1010  268  280   33  313]
2x0.1 + 4x0.9,[ 0. 28.  0.  0. 77.  0.  4. 44.],[70.  0. 20. 60.  0. 30.  0.  0.],[308 227 328 355 237 360 223 345]
2x0.2 + 4x0.8,[ 0.  0.  0.  0. 57.  0.  0.  0.],[70. 20. 70. 70.  0. 40. 20. 80.],[308 216 336 298 372 373 242 222]
2x0.3 + 4x0.7,[ 0. 64.  0.  0. 69.  0.  0.  0.],[70.  0. 70. 70.  0. 70. 20. 80.],[308 258 338 302 306 292 305 226]
2x0.4 + 4x0.6,[ 0. 70.  0.  0. 75.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[365 247 338 326 293 228 202 312]
2x0.5 + 4x0.5,[ 0. 72.  0.  0. 61.  0.  0.  0.],[70.  0. 40. 70.  0. 70. 10. 80.],[375 247 338 319 306 163 202 344]
2x0.6 + 4x0.4,[ 0. 72.  0.  0. 63.  0.  0.  0.],[70.  0. 10. 70.  0. 70. 20. 80.],[375 278 528 319 346 163 199 315]
2x0.7 + 4x0.3,[ 0. 72.  6.  0. 69.  0.  0.  0.],[70.  0.  0. 70.  0. 70. 20. 80.],[375 278 486 323 345 163 308 260]
2x0.8 + 4x0.2,[ 0. 72. 30. 27. 65.  0.  0.  0.],[70.  0.  0.  0.  0. 60. 20. 80.],[375 278 474 860 372 242 308 260]
2x0.9 + 4x0.1,[ 0. 72. 30.  0. 63.  0.  0. 33.],[70.  0.  0. 10.  0. 60. 30.  0.],[365 278 474 755 346 246 205 525]
2x0.1 + 5x0.9,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 20. 60. 70.  0. 70. 70. 80.],[308 323 338 269 268 182 318 222]
2x0.2 + 5x0.8,[ 0. 70.  0.  0. 61.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 70. 80.],[308 288 338 269 268 163 318 222]
2x0.3 + 5x0.7,[ 0.  0.  0.  0. 62.  0.  0.  0.],[70. 10. 60. 70.  0. 70. 60. 80.],[308 308 338 269 268 163 313 222]
2x0.4 + 5x0.6,[ 0.  0.  0.  0. 63.  0.  0.  0.],[70. 40. 60. 70.  0. 70. 10. 80.],[308 299 338 269 268 163 316 223]
2x0.5 + 5x0.5,[ 0. 42.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[308 258 338 269 268 163 315 225]
2x0.6 + 5x0.4,[ 0. 60.  0.  0. 65.  0.  0.  0.],[70.  0. 30. 70.  0. 70. 10. 80.],[308 288 338 303 268 163 319 223]
2x0.7 + 5x0.3,[ 0. 72.  0.  0. 65.  0.  0.  0.],[70.  0. 40. 70.  0. 70. 10. 80.],[331 237 340 295 268 163 250 223]
2x0.8 + 5x0.2,[ 0. 76.  0.  0. 65.  0.  0.  0.],[70.  0. 20. 70.  0. 70. 10. 80.],[321 278 534 302 268 163 245 297]
2x0.9 + 5x0.1,[ 0. 76. 22.  0. 63.  0.  0.  0.],[70.  0.  0. 70.  0. 60. 10. 80.],[365 278 497 323 268 263 246 330]
2x0.1 + 6x0.9,[ 0. 64.  0.  0. 59.  0.  0.  5.],[70.  0. 60. 60.  0. 60. 10.  0.],[319 258 337 291 264 202 312 480]
2x0.2 + 6x0.8,[ 0. 76.  0.  0. 59.  0.  0.  0.],[70.  0. 60. 60.  0. 80. 10. 80.],[319 237 337 295 292 164 298 343]
2x0.3 + 6x0.7,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 60.  0. 80. 10. 80.],[319 247 337 310 268 218 309 222]
2x0.4 + 6x0.6,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 80. 10. 80.],[308 247 337 269 268 182 310 222]
2x0.5 + 6x0.5,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 10. 70.  0. 70. 10. 80.],[308 247 453 269 268 163 307 222]
2x0.6 + 6x0.4,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 80. 70.  0. 70. 10. 80.],[308 247 225 269 268 163 307 222]
2x0.7 + 6x0.3,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 40. 70.  0. 70. 10. 80.],[308 247 337 269 268 163 309 223]
2x0.8 + 6x0.2,[ 0. 74. 10.  0. 65.  0.  0.  0.],[70.  0.  0. 70.  0. 70. 10. 80.],[308 247 473 289 268 163 320 227]
2x0.9 + 6x0.1,[ 0. 72. 16.  0. 63.  0.  0. 60.],[70.  0.  0. 70.  0. 50. 10.  0.],[334 278 486 493 268 266 406 344]
2x0.1 + 7x0.9,[ 0. 64.  0.  0. 65.  0.  9.  6.],[70.  0. 60. 60.  0. 50.  0.  0.],[312 258 337 292 268 243 210 480]
2x0.2 + 7x0.8,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 60.  0. 50. 10. 30.],[312 247 337 268 268 201 245 391]
2x0.3 + 7x0.7,[ 0. 70.  0.  0. 65.  0.  8.  0.],[70.  0. 60. 60.  0. 60. 10. 40.],[ 308  247  337  270  268  223 1000  384]
2x0.4 + 7x0.6,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 60.  0. 60. 10. 80.],[308 247 337 276 268 209 307 222]
2x0.5 + 7x0.5,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 50. 10. 80.],[308 247 337 268 268 225 307 222]
2x0.6 + 7x0.4,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 50. 10. 80.],[308 247 337 269 268 225 307 222]
2x0.7 + 7x0.3,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 50. 10. 80.],[308 247 337 269 268 225 308 229]
2x0.8 + 7x0.2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 50. 10. 80.],[308 247 337 269 268 272 307 223]
2x0.9 + 7x0.1,[ 0. 72. 18.  0. 63.  0.  0. 36.],[70.  0.  0. 70.  0. 60. 10.  0.],[308 278 473 285 268 285 319 419]
3x0.1 + 4x0.9,[ 0.  2.  0.  0. 60.  0.  5.  0.],[90.  0. 70. 70.  0. 50.  0. 40.],[315 157 158 251 301 270 197 463]
3x0.2 + 4x0.8,[ 0.  0.  0.  0. 60.  0. 24.  0.],[70. 20. 60. 80.  0. 50.  0. 60.],[297 140 154 255 403 301 236 375]
3x0.3 + 4x0.7,[ 0.  0.  0.  0. 68.  0. 60.  0.],[70. 20. 80. 80.  0. 70.  0. 60.],[170 139 168 258 236 290 158 372]
3x0.4 + 4x0.6,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 20. 70. 80.  0. 90. 20. 30.],[173 145 171 268 325 329 120 604]
3x0.5 + 4x0.5,[ 0. 10.  0.  0. 78.  0.  0.  0.],[50.  0. 40. 70.  0. 60. 40. 40.],[307 158 240 347 208 408 125 646]
3x0.6 + 4x0.4,[ 0. 74.  0.  0. 84.  0.  0.  0.],[70.  0. 30. 60.  0. 70. 10. 70.],[328 288 341 480 187 401 181 329]
3x0.7 + 4x0.3,[ 0. 72.  0.  0. 66.  0.  0. 48.],[70.  0. 10. 60.  0. 90. 10.  0.],[345 278 457 492 294 289 194 461]
3x0.8 + 4x0.2,[ 0. 72. 48.  0. 63.  0.  0.  2.],[70.  0.  0. 60.  0. 70. 30.  0.],[333 278 396 468 294 250 174 796]
3x0.9 + 4x0.1,[ 0. 72. 32.  0. 45.  0.  0.  0.],[70.  0.  0. 70.  0. 70. 10. 10.],[332 278 496 428 450 325 176 575]
3x0.1 + 5x0.9,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 40. 60. 70.  0. 80. 90. 80.],[308 318 338 269 268 211  28 229]
3x0.2 + 5x0.8,[ 0.  0.  0.  0. 62.  0.  0.  0.],[70. 20. 60. 70.  0. 70. 90. 80.],[308 298 338 269 268 163  28 229]
3x0.3 + 5x0.7,[ 0.  0.  0.  0. 66.  0.  0.  0.],[30. 50. 80. 70.  0. 80. 90. 80.],[308 301 339 268 346 163  36 230]
3x0.4 + 5x0.6,[ 0.  0.  0.  0. 90.  0.  0.  0.],[ 60.  50.  30.  90.   0.  80. 100.  70.],[375 314 521 394 240 283  15 353]
3x0.5 + 5x0.5,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  90.   0. 100. 100.  70.],[398 342 522 489 332 258  23 367]
3x0.6 + 5x0.4,[ 0.  0.  0.  0. 80.  0.  0.  0.],[ 50.  60.  30.  80.   0. 100. 100.  70.],[398 384 522 485 332 262  25 367]
3x0.7 + 5x0.3,[ 0. 76.  0.  0. 84.  0.  0. 20.],[ 50.   0.  30.  80.   0. 100.  80.   0.],[398 268 522 485 358 262  43 821]
3x0.8 + 5x0.2,[ 0. 72. 16.  0. 84.  0.  0.  0.],[70.  0.  0. 80.  0. 90. 20. 10.],[385 278 461 488 358 329 174 831]
3x0.9 + 5x0.1,[ 0. 72.  0.  0. 55.  0.  0.  9.],[70.  0. 10. 60.  0. 80. 50.  0.],[333 278 513 510 306 356 174 769]
3x0.1 + 6x0.9,[ 0. 64.  0.  0. 58.  2. 36.  5.],[70.  0. 60. 60.  0.  0.  0.  0.],[318 258 337 291 275 340 197 480]
3x0.2 + 6x0.8,[ 0. 64.  0.  0. 61.  0.  0.  5.],[70.  0. 60. 60.  0. 40. 10.  0.],[308 258 337 307 239 292 313 480]
3x0.3 + 6x0.7,[ 0. 76.  0.  0. 59.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 20.],[369 237 450 409 293 255 244 693]
3x0.4 + 6x0.6,[ 0.  0.  0.  0.  0.  0.  0. 53.],[50. 20. 20. 80. 90. 90. 90.  0.],[398 389 463 486 936 537  32 615]
3x0.5 + 6x0.5,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  20.  30.  80.   0. 100.  90.  70.],[398 409 522 485 332 259  52 367]
3x0.6 + 6x0.4,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  20.  30.  80.   0. 100.  90.  70.],[398 406 522 485 332 262  50 367]
3x0.7 + 6x0.3,[ 0. 64.  0.  0. 78.  0.  0.  0.],[20.  0. 10. 80.  0. 90. 60. 60.],[388 268 529 484 332 313 100 333]
3x0.8 + 6x0.2,[ 0. 72. 36.  0. 70.  0.  0.  0.],[60.  0.  0. 60.  0. 90. 80. 70.],[400 278 422 532 281 303  42 336]
3x0.9 + 6x0.1,[ 0. 72. 34.  0. 63.  0.  0. 48.],[70.  0.  0. 60.  0. 80. 50.  0.],[333 278 496 509 294 297 173 461]
3x0.1 + 7x0.9,[ 0. 64.  0.  0. 65.  0.  7.  5.],[70.  0. 60. 70.  0. 10.  0.  0.],[311 258 181 232 268 345 210 480]
3x0.2 + 7x0.8,[ 0. 64.  0.  0. 65.  0.  3.  0.],[70.  0. 60. 80.  0. 10.  0. 30.],[314 258 168 219 268 348 210 391]
3x0.3 + 7x0.7,[ 0.  0.  0.  0. 41.  0.  0.  0.],[ 40.  20.  60.  80. 100.  70.  40.  10.],[ 370  393  196  252 1000  206  219  699]
3x0.4 + 7x0.6,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  30.  60.  30.   0.  70. 100.  10.],[ 398  339  211 1123  332  426   15  774]
3x0.5 + 7x0.5,[ 0.  0.  0.  0. 82.  0.  0. 29.],[ 50.  40.  50.  50.   0.  90. 100.   0.],[398 361 327 963 332 345  15 847]
3x0.6 + 7x0.4,[ 0.  0.  0.  0. 82.  0.  0. 22.],[ 50.  40.  30.  70.   0. 100. 100.  20.],[ 398  414  522  927  332  262   23 1000]
3x0.7 + 7x0.3,[ 0. 72. 36.  0. 83.  0.  0. 39.],[ 70.   0.   0.  60.   0. 100. 100.   0.],[393 278 422 508 254 313  25 475]
3x0.8 + 7x0.2,[ 0. 72. 34.  0. 61.  0.  0. 30.],[70.  0.  0. 60.  0. 80. 10.  0.],[333 278 496 489 307 295 178 666]
3x0.9 + 7x0.1,[ 0. 72. 32.  0. 47.  0.  0.  0.],[70.  0.  0. 60.  0. 80. 10. 10.],[332 278 496 491 424 325 177 666]
4x0.1 + 5x0.9,[ 0. 58.  0.  0. 50.  0. 29. 28.],[80.  0. 30. 50.  0. 70.  0.  0.],[321 169 252 293 300 234 197 331]
4x0.2 + 5x0.8,[ 0. 64.  0.  0. 56.  0. 41. 29.],[90.  0. 30. 60.  0. 70.  0.  0.],[321 168 246 260 273 242 184 331]
4x0.3 + 5x0.7,[ 0. 66.  0.  0. 50.  0.  5. 29.],[90.  0. 60. 60.  0. 60.  0.  0.],[321 168 205 261 271 294 197 331]
4x0.4 + 5x0.6,[ 0. 66.  0.  0. 47.  0.  1. 25.],[90.  0. 70. 60.  0. 80.  0.  0.],[319 157 157 223 270 265 210 409]
4x0.5 + 5x0.5,[ 0.  6.  0.  0. 45.  0. 18. 17.],[90.  0. 70. 60.  0. 80.  0.  0.],[298 156 154 225 269 263 210 409]
4x0.6 + 5x0.4,[ 0.  4.  0.  0. 44.  0.  0. 17.],[90.  0. 60. 60.  0. 60. 20.  0.],[314 156 208 225 269 265 192 409]
4x0.7 + 5x0.3,[ 0.  4.  0.  0. 47.  0.  0. 18.],[90.  0. 60. 60.  0. 40. 20.  0.],[306 156 207 225 270 297 192 409]
4x0.8 + 5x0.2,[ 0.  4.  0.  0. 50.  0.  0. 18.],[90.  0. 60. 60.  0. 30. 20.  0.],[306 156 211 242 271 325 193 447]
4x0.9 + 5x0.1,[ 0.  4.  0.  0. 59.  3.  0. 28.],[90.  0. 70. 60.  0.  0. 10.  0.],[307 157 157 269 273 329 205 321]
4x0.1 + 6x0.9,[ 0. 64.  0.  0. 56.  0. 33.  5.],[70.  0. 10. 60.  0. 50.  0.  0.],[318 258 279 253 273 258 197 480]
4x0.2 + 6x0.8,[ 0. 64.  0.  0. 56.  0.  0.  5.],[70.  0. 10. 60.  0. 50. 10.  0.],[319 258 281 254 274 254 248 480]
4x0.3 + 6x0.7,[ 0. 64.  8.  0. 47.  0.  0.  5.],[70.  0.  0. 60.  0. 50. 10.  0.],[319 258 327 286 300 244 284 480]
4x0.4 + 6x0.6,[ 0. 64.  8.  0. 61.  0.  0.  5.],[70.  0.  0. 60.  0. 60. 10.  0.],[308 258 327 290 250 257 284 480]
4x0.5 + 6x0.5,[ 0. 64.  0.  0. 61.  0.  0.  5.],[70.  0. 20. 60.  0. 20. 10.  0.],[308 258 325 297 240 353 280 480]
4x0.6 + 6x0.4,[ 0. 64.  0.  0. 61.  0.  0.  5.],[70.  0. 20. 60.  0. 50. 20.  0.],[308 258 323 304 241 259 246 480]
4x0.7 + 6x0.3,[ 0. 32.  0.  0. 61.  0.  0.  5.],[70.  0. 20. 60.  0. 50. 20.  0.],[308 258 322 307 241 265 240 480]
4x0.8 + 6x0.2,[ 0.  0.  0.  0. 62.  0.  0.  5.],[70. 20. 10. 60.  0. 10. 20.  0.],[308 216 324 305 240 350 238 480]
4x0.9 + 6x0.1,[ 0. 28.  0.  0. 62.  0. 14.  5.],[70.  0. 20. 60.  0. 20.  0.  0.],[308 227 286 302 264 350 210 480]
4x0.1 + 7x0.9,[ 0. 76.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 80. 20. 30.],[312 237 337 269 268 172 247 391]
4x0.2 + 7x0.8,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 80. 10. 50.],[312 247 337 269 268 172 318 373]
4x0.3 + 7x0.7,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 329 373]
4x0.4 + 7x0.6,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[308 247 337 269 268 163 346 373]
4x0.5 + 7x0.5,[ 0. 70.  0.  0. 63.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[308 247 337 269 268 163 307 222]
4x0.6 + 7x0.4,[ 0. 70.  0.  0. 60.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[308 247 337 269 294 163 307 222]
4x0.7 + 7x0.3,[ 0. 70.  0.  0. 69.  0.  0.  0.],[70.  0. 50. 60.  0. 70. 20. 80.],[308 247 337 365 294 154 250 222]
4x0.8 + 7x0.2,[ 0. 64.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 20. 80.],[308 258 336 298 268 182 247 222]
4x0.9 + 7x0.1,[ 0.  0.  0.  0. 63.  0. 15.  5.],[70. 40. 20. 60.  0. 20.  0.  0.],[308 143 329 357 267 355 210 480]
5x0.1 + 6x0.9,[ 0. 72.  0.  0. 51.  0. 21. 29.],[70.  0. 50. 70.  0. 50.  0.  0.],[318 194 155 244 272 288 208 331]
5x0.2 + 6x0.8,[ 0. 78.  0.  0. 49.  0. 31. 29.],[70.  0. 70. 70.  0. 30.  0.  0.],[321 179 154 224 271 264 193 327]
5x0.3 + 6x0.7,[ 0. 76.  0.  0. 48.  0.  5. 29.],[100.   0.  70.  70.   0.  50.   0.   0.],[321 178 157 224 271 215 223 343]
5x0.4 + 6x0.6,[ 0. 72.  0.  0. 46.  0.  1. 29.],[100.   0.  60.  70.   0.  60.   0.   0.],[321 228 155 224 271 263 223 343]
5x0.5 + 6x0.5,[ 0. 80.  0.  0. 47.  0.  0. 29.],[90.  0. 50. 70.  0. 60. 10.  0.],[321 176 160 224 271 254 222 323]
5x0.6 + 6x0.4,[ 0. 78.  0.  0. 53.  0.  0. 29.],[80.  0. 30. 60.  0. 40. 10.  0.],[321 175 252 276 272 274 222 331]
5x0.7 + 6x0.3,[ 0. 64.  0.  0. 56.  0.  0.  5.],[70.  0. 70. 60.  0. 50. 10.  0.],[308 258 337 329 274 243 222 484]
5x0.8 + 6x0.2,[ 0.  0.  0.  0. 59.  0. 12.  5.],[70. 40. 70. 60.  0. 10.  0.  0.],[308 141 337 321 274 353 210 484]
5x0.9 + 6x0.1,[ 0.  2.  0.  0. 49.  0. 48.  0.],[80.  0. 10. 90.  0. 20.  0. 20.],[329 193 269 515 300 327 184 484]
5x0.1 + 7x0.9,[ 0. 64.  0.  0. 65.  0.  8.  5.],[70.  0. 10. 70.  0. 60.  0.  0.],[311 258 328 270 268 242 210 480]
5x0.2 + 7x0.8,[ 0. 64.  0.  0. 65.  0.  0.  5.],[70.  0. 20. 70.  0. 60. 20.  0.],[312 258 327 269 268 235 236 480]
5x0.3 + 7x0.7,[ 0. 64.  0.  0. 65.  0.  0.  6.],[70.  0. 40. 70.  0. 60. 10.  0.],[312 258 333 269 268 236 325 480]
5x0.4 + 7x0.6,[ 0. 76.  0.  0. 65.  0.  0.  6.],[70.  0. 60. 70.  0. 40. 10.  0.],[312 237 337 269 268 313 331 480]
5x0.5 + 7x0.5,[ 0. 64.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 258 337 269 268 163 396 373]
5x0.6 + 7x0.4,[ 0. 64.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 40.],[312 258 337 269 268 163 381 383]
5x0.7 + 7x0.3,[ 0. 64.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[308 258 337 269 268 163 305 294]
5x0.8 + 7x0.2,[ 0. 64.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[308 258 337 269 268 172 303 222]
5x0.9 + 7x0.1,[ 0. 78.  0.  0. 64.  0.  0.  0.],[70.  0. 60. 70.  0. 40. 20. 80.],[308 207 337 269 268 242 302 222]
6x0.1 + 7x0.9,[ 0. 76.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 80. 10. 30.],[312 237 337 269 268 172 326 391]
6x0.2 + 7x0.8,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[311 247 337 269 268 163 347 373]
6x0.3 + 7x0.7,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[308 247 337 269 268 163 307 222]
6x0.4 + 7x0.6,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[308 247 337 269 268 163 307 222]
6x0.5 + 7x0.5,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[308 247 337 269 268 163 307 222]
6x0.6 + 7x0.4,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[308 247 337 269 268 163 307 222]
6x0.7 + 7x0.3,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[308 247 337 269 268 163 307 222]
6x0.8 + 7x0.2,[ 0. 70.  0.  0. 66.  0.  0.  0.],[70.  0. 60. 70.  0. 80. 10. 80.],[308 247 337 269 268 182 304 222]
6x0.9 + 7x0.1,[ 0. 70.  0.  0. 61.  0.  0.  5.],[70.  0. 60. 60.  0. 50. 10.  0.],[308 247 337 307 265 220 297 480]
